		Uncategorised	Meaty	 Nutty	Medicinal	Chocolate	Wood	Spice	Herbaceous	 Berry	Dairy	Green	Roasted	Petrol	Floral	Caramel	Sulphur	 Tree fruit	Tropical	Marine	Earthy	Fruit like	Melon	Sour	 Citrus	Phenol	Pungent	Toasted	Smoke	Savory
320	Rye	0.25	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.1	0.2	0.04	0.0	0.25	0.25	0.09	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.0	0.0	0.0
321	Storax	0.25	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.1	0.2	0.04	0.0	0.25	0.25	0.09	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.0	0.0	0.0
322	Vinegar	0.13	0.0	0.1	0.01	0.11	0.02	0.0	0.07	0.11	0.19	0.08	0.0	0.0	0.08	0.13	0.09	0.03	0.1	0.0	0.03	0.0	0.06	0.5	0.0	0.06	0.16	0.0	0.0	0.0
323	Anise	0.37	0.08	0.27	0.4	0.22	0.38	0.61	0.28	0.14	0.1	0.27	0.04	0.4	0.4	0.39	0.07	0.15	0.06	0.17	0.14	0.0	0.06	0.21	0.33	0.32	0.38	0.0	0.11	0.0
324	Anise Hyssop	0.02	0.0	0.27	0.01	0.22	0.04	0.61	0.05	0.01	0.03	0.02	0.04	0.4	0.02	0.01	0.07	0.0	0.06	0.0	0.07	0.0	0.06	0.21	0.33	0.0	0.38	0.0	0.0	0.0
325	Star Anise	0.36	0.03	0.25	0.34	0.22	0.52	0.67	0.38	0.12	0.03	0.28	0.04	0.6	0.4	0.41	0.07	0.15	0.07	0.17	0.16	0.0	0.12	0.21	0.45	0.18	0.38	0.0	0.0	0.0
326	Caraway	0.05	0.03	0.25	0.17	0.22	0.07	0.1	0.05	0.12	0.03	0.04	0.04	0.6	0.0	0.02	0.07	0.0	0.07	0.0	0.0	0.0	0.12	0.21	0.11	0.18	0.0	0.0	0.0	0.0
327	Cardamom	0.47	0.03	0.27	0.37	0.15	0.54	0.47	0.34	0.19	0.16	0.38	0.05	0.4	0.53	0.39	0.07	0.14	0.17	0.22	0.2	0.0	0.06	0.36	0.64	0.21	0.38	0.0	0.0	0.0
328	Cassia	0.4	0.11	0.27	0.3	0.22	0.35	0.73	0.28	0.14	0.06	0.32	0.04	0.6	0.37	0.39	0.07	0.18	0.11	0.22	0.17	0.0	0.06	0.43	0.37	0.35	0.44	0.0	0.06	0.0
329	Celery	0.53	0.13	0.31	0.69	0.15	0.63	0.53	0.64	0.25	0.1	0.45	0.04	0.6	0.5	0.55	0.14	0.2	0.2	0.39	0.27	0.25	0.12	0.57	0.66	0.21	0.44	0.0	0.11	0.0
330	Cinnamon	0.45	0.05	0.31	0.41	0.3	0.59	1.0	0.52	0.18	0.03	0.32	0.04	0.4	0.53	0.5	0.07	0.25	0.12	0.22	0.16	0.0	0.06	0.36	0.48	0.32	0.6	0.0	0.0	0.0
331	Clove	0.41	0.03	0.29	0.34	0.19	0.52	0.71	0.52	0.24	0.06	0.35	0.1	0.2	0.4	0.47	0.07	0.27	0.15	0.22	0.26	0.0	0.12	0.29	0.31	0.26	0.53	0.0	0.0	0.0
332	Cumin	0.37	0.03	0.25	0.4	0.22	0.49	0.67	0.41	0.13	0.06	0.28	0.04	0.4	0.33	0.38	0.07	0.18	0.08	0.17	0.14	0.0	0.06	0.21	0.38	0.15	0.42	0.0	0.0	0.0
333	Ginger	0.61	0.08	0.29	0.53	0.15	1.0	0.67	0.93	0.24	0.32	0.55	0.07	0.8	0.62	0.58	0.12	0.23	0.17	0.33	0.5	0.08	0.41	0.36	0.85	0.41	0.6	0.0	0.0	0.0
334	Mace	0.06	0.08	0.0	0.07	0.04	0.15	0.27	0.03	0.03	0.32	0.02	0.07	0.0	0.08	0.07	0.12	0.04	0.01	0.33	0.0	0.08	0.41	0.0	0.12	0.0	0.11	0.0	0.0	0.0
335	Marjoram	0.43	0.11	0.27	0.46	0.19	0.66	0.59	0.51	0.16	0.23	0.38	0.05	0.4	0.38	0.43	0.07	0.22	0.13	0.22	0.26	0.08	0.18	0.29	0.52	0.29	0.44	0.0	0.0	0.0
336	Nutmeg	0.43	0.11	0.27	0.33	0.19	0.62	0.76	0.43	0.16	0.1	0.33	0.07	0.4	0.44	0.43	0.07	0.18	0.12	0.17	0.2	0.0	0.06	0.36	0.55	0.21	0.47	0.0	0.0	0.0
337	Oregano	0.43	0.05	0.27	0.37	0.19	0.8	0.55	0.75	0.2	0.19	0.44	0.05	0.6	0.44	0.43	0.07	0.19	0.12	0.33	0.29	0.0	0.12	0.29	0.63	0.21	0.33	0.0	0.0	0.0
338	Parsley	0.39	0.05	0.25	0.33	0.15	0.53	0.53	0.56	0.15	0.16	0.34	0.05	1.0	0.34	0.38	0.15	0.16	0.1	0.17	0.24	0.17	0.06	0.36	0.46	0.21	0.33	0.0	0.0	0.0
339	Pepper	0.5	0.13	0.27	0.61	0.19	0.88	0.92	0.74	0.24	0.03	0.39	0.04	0.8	0.55	0.56	0.07	0.26	0.21	0.17	0.31	0.0	0.12	0.57	0.67	0.21	0.6	0.0	0.0	0.0
340	Saffron	0.34	0.03	0.23	0.2	0.15	0.34	0.27	0.23	0.12	0.06	0.27	0.04	0.4	0.33	0.33	0.07	0.12	0.07	0.17	0.16	0.0	0.06	0.21	0.37	0.21	0.29	0.0	0.0	0.0
341	Turmeric	0.34	0.03	0.23	0.23	0.15	0.33	0.33	0.36	0.12	0.06	0.26	0.04	0.4	0.31	0.32	0.07	0.12	0.08	0.17	0.14	0.0	0.06	0.21	0.38	0.15	0.31	0.0	0.0	0.0
342	Green Beans	0.5	0.11	0.44	0.37	0.33	0.2	0.22	0.28	0.24	0.32	0.4	0.15	0.6	0.45	0.45	0.24	0.16	0.21	0.44	0.47	0.33	0.12	0.43	0.31	0.29	0.44	0.18	0.17	0.0
343	Chive	0.29	0.08	0.23	0.19	0.15	0.09	0.18	0.13	0.13	0.1	0.28	0.07	0.2	0.28	0.27	0.61	0.12	0.08	0.17	0.19	0.25	0.06	0.36	0.17	0.26	0.27	0.18	0.17	0.0
344	Endive	0.32	0.05	0.27	0.16	0.15	0.05	0.16	0.08	0.16	0.13	0.31	0.04	0.0	0.31	0.29	0.07	0.14	0.11	0.39	0.23	0.0	0.06	0.36	0.2	0.24	0.27	0.18	0.17	0.0
345	Leek	0.33	0.11	0.31	0.16	0.15	0.1	0.18	0.16	0.16	0.16	0.32	0.07	0.2	0.31	0.29	0.41	0.15	0.13	0.33	0.26	0.17	0.06	0.43	0.19	0.24	0.31	0.0	0.06	0.0
346	Lettuce	0.34	0.03	0.25	0.23	0.19	0.1	0.18	0.11	0.24	0.16	0.35	0.05	0.0	0.32	0.37	0.09	0.25	0.21	0.28	0.29	0.0	0.12	0.43	0.22	0.18	0.27	0.0	0.06	0.0
347	Okra	0.32	0.03	0.38	0.16	0.3	0.08	0.22	0.08	0.15	0.16	0.26	0.1	0.4	0.28	0.34	0.14	0.15	0.07	0.17	0.27	0.17	0.06	0.36	0.16	0.15	0.29	0.0	0.06	0.0
348	Onion	0.4	0.13	0.35	0.24	0.15	0.12	0.24	0.16	0.19	0.32	0.35	0.11	0.6	0.28	0.38	1.0	0.13	0.15	0.33	0.31	0.25	0.06	0.43	0.18	0.32	0.38	0.0	0.28	0.0
349	Shallot	0.26	0.08	0.23	0.13	0.15	0.05	0.16	0.11	0.13	0.1	0.25	0.05	0.0	0.27	0.25	0.28	0.12	0.1	0.33	0.19	0.08	0.06	0.21	0.17	0.15	0.27	0.0	0.28	0.0
350	Peppermint	0.53	0.11	0.25	0.83	0.33	0.63	0.57	0.64	0.31	0.16	0.45	0.08	0.6	0.53	0.57	0.14	0.28	0.29	0.28	0.3	0.25	0.24	0.5	0.52	0.38	0.56	0.0	0.17	0.0
351	Broccoli	0.31	0.11	0.25	0.14	0.15	0.05	0.2	0.15	0.13	0.13	0.28	0.07	0.2	0.28	0.28	0.21	0.14	0.07	0.28	0.23	0.0	0.06	0.36	0.21	0.18	0.27	0.0	0.17	0.0
352	Brussels Sprout	0.28	0.08	0.23	0.14	0.15	0.05	0.16	0.11	0.11	0.03	0.25	0.04	0.2	0.26	0.25	0.24	0.12	0.06	0.22	0.17	0.25	0.06	0.36	0.16	0.15	0.29	0.0	0.17	0.0
353	Cabbage	0.41	0.16	0.4	0.29	0.19	0.16	0.24	0.26	0.22	0.29	0.39	0.07	0.4	0.33	0.36	0.5	0.16	0.15	0.39	0.41	0.42	0.12	0.43	0.26	0.21	0.4	0.0	0.06	0.0
354	Cauliflower	0.31	0.08	0.33	0.16	0.15	0.05	0.2	0.13	0.15	0.1	0.28	0.05	0.2	0.3	0.29	0.24	0.16	0.08	0.33	0.23	0.17	0.06	0.36	0.22	0.18	0.31	0.0	0.0	0.0
355	Horseradish	0.28	0.05	0.23	0.14	0.15	0.07	0.16	0.15	0.11	0.1	0.23	0.04	0.0	0.26	0.26	0.19	0.12	0.06	0.17	0.19	0.0	0.06	0.36	0.2	0.15	0.38	0.0	0.0	0.0
356	Mustard	0.35	0.11	0.37	0.23	0.22	0.11	0.27	0.2	0.15	0.19	0.32	0.1	0.0	0.32	0.35	0.19	0.18	0.15	0.22	0.19	0.0	0.06	0.36	0.21	0.24	0.38	0.0	0.0	0.0
357	Radish	0.29	0.11	0.27	0.13	0.15	0.05	0.16	0.13	0.13	0.13	0.27	0.04	0.0	0.26	0.26	0.17	0.14	0.08	0.28	0.21	0.0	0.06	0.36	0.16	0.15	0.24	0.0	0.0	0.0
358	Turnip	0.26	0.03	0.23	0.13	0.15	0.04	0.16	0.1	0.11	0.1	0.21	0.04	0.0	0.26	0.25	0.11	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.24	0.0	0.0	0.0
359	Kohlrabi	0.34	0.13	0.65	0.19	0.52	0.11	0.2	0.13	0.15	0.16	0.32	0.21	0.2	0.3	0.33	0.29	0.14	0.08	0.33	0.43	0.42	0.06	0.43	0.21	0.15	0.33	0.27	0.0	0.0
360	Rutabaga	0.29	0.08	0.23	0.13	0.15	0.07	0.18	0.11	0.11	0.1	0.25	0.04	0.2	0.27	0.27	0.16	0.12	0.06	0.17	0.17	0.17	0.06	0.43	0.17	0.15	0.24	0.27	0.0	0.0
361	Wasabi	0.25	0.03	0.23	0.13	0.15	0.04	0.16	0.1	0.11	0.0	0.21	0.04	0.0	0.25	0.24	0.11	0.12	0.06	0.17	0.14	0.0	0.06	0.21	0.15	0.12	0.29	0.27	0.0	0.0
362	Capsicum	0.54	0.32	0.44	0.46	0.33	0.36	0.53	0.34	0.27	0.39	0.45	0.16	1.0	0.42	0.53	0.11	0.2	0.19	0.33	0.44	0.08	0.12	0.57	0.42	0.38	0.49	0.09	0.17	0.0
363	Cherry Pepper	0.04	0.32	0.04	0.03	0.0	0.04	0.18	0.03	0.06	0.39	0.02	0.16	1.0	0.04	0.06	0.11	0.05	0.04	0.33	0.44	0.08	0.0	0.57	0.02	0.03	0.09	0.09	0.17	0.0
364	Tomato	0.68	0.24	0.56	0.4	0.41	0.35	0.41	0.48	0.49	0.65	0.74	0.12	0.6	0.63	0.68	0.39	0.37	0.4	0.72	0.83	0.83	0.35	0.5	0.47	0.53	0.69	0.09	0.17	0.0
365	Chayote	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.1	0.2	0.04	0.0	0.25	0.26	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.24	0.09	0.17	0.0
366	Cucumber	0.35	0.03	0.25	0.14	0.15	0.04	0.16	0.08	0.12	0.19	0.38	0.04	0.0	0.33	0.28	0.1	0.14	0.1	0.22	0.26	0.0	0.41	0.36	0.24	0.12	0.24	0.09	0.17	0.0
367	Beetroot	0.29	0.05	0.23	0.13	0.15	0.04	0.18	0.08	0.1	0.13	0.22	0.04	0.0	0.25	0.25	0.1	0.12	0.06	0.28	0.2	0.0	0.06	0.43	0.15	0.12	0.22	0.09	0.17	0.0
368	Carrot	0.48	0.13	0.31	0.27	0.26	0.58	0.57	0.44	0.21	0.13	0.38	0.04	0.8	0.47	0.43	0.14	0.22	0.15	0.44	0.34	0.25	0.18	0.36	0.57	0.26	0.51	0.09	0.0	0.0
369	Parsnip	0.33	0.03	0.23	0.19	0.15	0.25	0.27	0.23	0.13	0.16	0.26	0.05	0.4	0.3	0.29	0.1	0.13	0.08	0.17	0.23	0.0	0.06	0.36	0.34	0.12	0.24	0.09	0.0	0.0
370	Sweet Potato	0.27	0.03	0.25	0.13	0.15	0.05	0.18	0.08	0.12	0.13	0.22	0.04	0.0	0.28	0.28	0.07	0.12	0.06	0.28	0.14	0.0	0.06	0.36	0.2	0.12	0.24	0.09	0.0	0.0
371	Asparagus	0.42	0.21	0.73	0.31	0.41	0.15	0.24	0.25	0.22	0.23	0.42	0.25	0.4	0.34	0.42	0.2	0.17	0.17	0.44	0.51	0.42	0.24	0.5	0.2	0.41	0.4	0.27	0.17	0.0
372	Cassava	0.26	0.05	0.25	0.13	0.15	0.04	0.16	0.08	0.11	0.1	0.22	0.04	0.0	0.25	0.25	0.07	0.12	0.06	0.17	0.14	0.08	0.12	0.43	0.17	0.12	0.24	0.27	0.17	0.0
373	Potato	0.64	0.42	1.0	0.3	0.78	0.2	0.33	0.36	0.38	0.48	0.61	0.51	0.4	0.46	0.56	0.38	0.22	0.3	0.44	0.89	0.67	0.18	0.71	0.47	0.24	0.69	0.45	0.17	0.0
374	Fried Potato	0.18	0.13	0.35	0.04	0.41	0.04	0.0	0.13	0.11	0.26	0.26	0.18	0.2	0.08	0.13	0.21	0.08	0.06	0.28	0.41	0.33	0.18	0.0	0.11	0.06	0.16	0.09	0.17	0.0
375	Allspice	0.38	0.03	0.31	0.3	0.19	0.55	0.55	0.49	0.19	0.03	0.32	0.05	0.4	0.35	0.38	0.07	0.2	0.14	0.17	0.24	0.0	0.12	0.21	0.43	0.18	0.42	0.0	0.17	0.0
376	Asafoetida	0.05	0.03	0.0	0.06	0.19	0.25	0.14	0.13	0.19	0.03	0.03	0.05	0.0	0.02	0.06	0.07	0.2	0.0	0.17	0.0	0.0	0.12	0.21	0.11	0.18	0.04	0.0	0.0	0.0
377	Ashgourd	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.25	0.07	0.14	0.07	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.0	0.0	0.0
378	Bittergourd	0.29	0.03	0.23	0.26	0.19	0.22	0.37	0.2	0.11	0.0	0.24	0.04	0.2	0.31	0.31	0.07	0.15	0.08	0.17	0.13	0.0	0.06	0.21	0.3	0.12	0.27	0.0	0.0	0.0
379	Bottlegourd	0.28	0.03	0.25	0.13	0.15	0.07	0.18	0.08	0.12	0.13	0.23	0.04	0.0	0.31	0.29	0.07	0.12	0.07	0.22	0.11	0.0	0.06	0.21	0.26	0.12	0.24	0.0	0.0	0.0
380	Canola Oil	0.38	0.11	0.31	0.26	0.15	0.22	0.27	0.26	0.25	0.1	0.39	0.04	0.0	0.41	0.37	0.17	0.24	0.19	0.33	0.24	0.0	0.24	0.29	0.33	0.18	0.42	0.0	0.0	0.0
381	Carom Seed	0.38	0.03	0.25	0.56	0.15	0.37	0.55	0.44	0.11	0.0	0.32	0.04	0.4	0.37	0.4	0.07	0.15	0.08	0.22	0.14	0.0	0.06	0.21	0.49	0.18	0.31	0.0	0.0	0.0
382	Chard	0.25	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.1	0.2	0.04	0.0	0.25	0.25	0.09	0.12	0.06	0.17	0.16	0.0	0.06	0.36	0.15	0.12	0.22	0.0	0.0	0.0
383	Apple Cider Vinegar	0.03	0.03	0.23	0.0	0.15	0.04	0.0	0.08	0.03	0.16	0.0	0.04	0.0	0.02	0.03	0.09	0.0	0.01	0.17	0.16	0.0	0.06	0.0	0.15	0.12	0.0	0.0	0.0	0.0
384	Colocasia	0.15	0.03	0.17	0.1	0.0	0.08	0.06	0.1	0.08	0.19	0.11	0.07	0.0	0.21	0.17	0.01	0.06	0.06	0.11	0.03	0.0	0.06	0.07	0.12	0.06	0.07	0.18	0.17	0.0
385	Curry Leaf	0.05	0.03	0.17	0.06	0.0	0.1	0.04	0.2	0.01	0.19	0.04	0.07	0.0	0.04	0.04	0.01	0.06	0.01	0.11	0.0	0.0	0.06	0.07	0.2	0.06	0.02	0.18	0.17	0.0
386	Drumstick Leaf	0.19	0.05	0.17	0.04	0.07	0.07	0.06	0.07	0.15	0.16	0.18	0.0	0.0	0.18	0.14	0.0	0.12	0.1	0.06	0.1	0.0	0.0	0.21	0.15	0.0	0.04	0.18	0.17	0.0
387	Eggplant	0.29	0.03	0.23	0.13	0.15	0.04	0.16	0.1	0.11	0.13	0.25	0.04	0.4	0.27	0.27	0.14	0.12	0.06	0.17	0.17	0.17	0.06	0.36	0.17	0.12	0.24	0.18	0.17	0.0
388	Flaxseed	0.3	0.05	0.31	0.13	0.15	0.07	0.24	0.08	0.19	0.13	0.29	0.05	0.0	0.31	0.34	0.11	0.18	0.11	0.22	0.19	0.25	0.24	0.57	0.24	0.12	0.36	0.0	0.17	0.0
389	Jalapeno	0.0	0.05	0.31	0.13	0.15	0.07	0.0	0.08	0.19	0.13	0.0	0.05	0.0	0.31	0.34	0.11	0.18	0.11	0.22	0.0	0.25	0.24	0.57	0.24	0.12	0.36	0.0	0.17	0.0
390	Kenaf	0.13	0.05	0.17	0.06	0.04	0.09	0.04	0.08	0.04	0.06	0.14	0.03	0.2	0.19	0.13	0.11	0.08	0.01	0.11	0.09	0.0	0.0	0.57	0.18	0.06	0.04	0.0	0.0	0.0
391	Lotus	0.37	0.03	0.25	0.2	0.15	0.2	0.2	0.2	0.16	0.16	0.29	0.04	0.0	0.39	0.34	0.07	0.14	0.11	0.28	0.19	0.0	0.06	0.29	0.28	0.15	0.31	0.0	0.0	0.0
392	Nigella Seed	0.07	0.03	0.0	0.13	0.0	0.19	0.24	0.11	0.01	0.16	0.02	0.04	0.4	0.02	0.06	0.07	0.01	0.0	0.28	0.03	0.0	0.06	0.29	0.13	0.15	0.0	0.0	0.0	0.0
393	Kewda	0.03	0.03	0.02	0.01	0.0	0.02	0.02	0.03	0.03	0.16	0.01	0.04	0.4	0.11	0.05	0.07	0.05	0.0	0.28	0.03	0.0	0.06	0.29	0.06	0.03	0.0	0.0	0.06	0.0
394	Pomegranate	0.32	0.03	0.25	0.17	0.15	0.18	0.27	0.16	0.11	0.06	0.27	0.04	0.4	0.29	0.3	0.07	0.14	0.08	0.22	0.17	0.0	0.06	0.36	0.34	0.12	0.22	0.0	0.06	0.0
395	Poppy Seed	0.34	0.11	0.37	0.21	0.26	0.14	0.2	0.2	0.16	0.16	0.26	0.05	0.2	0.26	0.34	0.09	0.12	0.11	0.28	0.24	0.0	0.06	0.43	0.26	0.12	0.31	0.0	0.06	0.0
396	Spinach	0.36	0.11	0.35	0.2	0.15	0.1	0.18	0.21	0.16	0.1	0.4	0.05	0.0	0.38	0.3	0.11	0.14	0.12	0.61	0.31	0.08	0.12	0.43	0.27	0.15	0.36	0.0	0.0	0.0
397	Turkey Berry	0.11	0.0	0.04	0.06	0.15	0.1	0.02	0.11	0.04	0.03	0.18	0.05	0.0	0.12	0.07	0.11	0.04	0.05	0.06	0.04	0.0	0.06	0.43	0.27	0.15	0.0	0.0	0.0	0.0
398	Water Chestnut	0.25	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.11	0.0	0.2	0.04	0.0	0.27	0.25	0.07	0.13	0.07	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.0	0.0	0.0
399	White Pepper	0.06	0.08	0.0	0.04	0.04	0.03	0.06	0.05	0.01	0.0	0.02	0.0	0.0	0.02	0.02	0.07	0.01	0.04	0.17	0.11	0.0	0.06	0.14	0.04	0.03	0.04	0.0	0.0	0.0
400	Garcinia Indica	0.01	0.08	0.0	0.04	0.04	0.03	0.06	0.05	0.01	0.0	0.02	0.0	0.0	0.02	0.02	0.07	0.01	0.0	0.17	0.11	0.0	0.06	0.14	0.04	0.03	0.04	0.0	0.0	0.0
401	Cluster Bean	0.01	0.0	0.0	0.04	0.04	0.03	0.06	0.0	0.01	0.1	0.02	0.0	0.0	0.0	0.01	0.07	0.01	0.0	0.0	0.04	0.0	0.06	0.14	0.0	0.03	0.04	0.0	0.0	0.0
402	Paneer	0.08	0.0	0.06	0.0	0.11	0.04	0.0	0.03	0.04	0.26	0.02	0.0	0.0	0.01	0.03	0.04	0.03	0.0	0.0	0.04	0.08	0.06	0.07	0.06	0.0	0.18	0.0	0.0	0.0
403	Pigeon Pea	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.0	0.0	0.0
404	Basmati Rice	0.1	0.05	0.12	0.09	0.15	0.01	0.02	0.08	0.04	0.06	0.15	0.01	0.0	0.03	0.07	0.0	0.03	0.04	0.11	0.13	0.0	0.06	0.21	0.15	0.12	0.07	0.0	0.0	0.0
405	Ricotta Cheese	0.12	0.0	0.06	0.09	0.04	0.19	0.08	0.16	0.07	0.06	0.13	0.01	0.2	0.04	0.1	0.04	0.06	0.06	0.06	0.14	0.08	0.06	0.0	0.17	0.0	0.04	0.0	0.0	0.0
408	Silver linden	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.06	0.2	0.04	0.0	0.25	0.25	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.0	0.0	0.0
409	redskin onion	0.24	0.05	0.23	0.13	0.15	0.05	0.16	0.1	0.11	0.03	0.22	0.05	0.0	0.26	0.24	0.16	0.12	0.06	0.17	0.16	0.0	0.06	0.36	0.16	0.15	0.24	0.0	0.0	0.0
410	Lemon verbena	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.0	0.0	0.0
411	Cashew nut	0.26	0.03	0.25	0.13	0.15	0.05	0.16	0.1	0.11	0.06	0.22	0.04	0.0	0.25	0.27	0.07	0.14	0.07	0.17	0.13	0.0	0.06	0.36	0.21	0.12	0.22	0.0	0.0	0.0
412	Burdock	0.27	0.05	0.25	0.13	0.15	0.11	0.2	0.11	0.12	0.06	0.22	0.04	0.0	0.27	0.28	0.07	0.14	0.08	0.17	0.13	0.0	0.06	0.36	0.15	0.12	0.27	0.0	0.0	0.0
413	Borage	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.0	0.0	0.0
414	Capers	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.25	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.0	0.0	0.0
415	Safflower	0.35	0.11	0.31	0.2	0.15	0.29	0.33	0.21	0.22	0.1	0.35	0.05	0.4	0.29	0.31	0.09	0.19	0.11	0.33	0.21	0.17	0.12	0.5	0.34	0.18	0.33	0.0	0.0	0.0
416	Chestnut	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.0	0.0	0.0
417	Chickpea	0.25	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.0	0.0	0.0
418	Pummelo	0.28	0.03	0.23	0.17	0.15	0.26	0.27	0.16	0.11	0.0	0.23	0.04	0.2	0.3	0.28	0.07	0.12	0.07	0.17	0.13	0.0	0.12	0.21	0.31	0.12	0.24	0.0	0.0	0.0
419	Arabica coffee	0.02	0.05	0.0	0.09	0.15	0.02	0.06	0.16	0.11	0.0	0.23	0.01	0.2	0.01	0.03	0.07	0.12	0.07	0.17	0.13	0.0	0.12	0.21	0.31	0.26	0.02	0.0	0.17	0.0
421	Japanese persimmon	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.0	0.17	0.0
422	Black crowberry	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.0	0.17	0.0
423	Rocket salad	0.33	0.05	0.37	0.23	0.22	0.11	0.29	0.23	0.11	0.1	0.29	0.07	0.0	0.34	0.29	0.11	0.17	0.1	0.28	0.23	0.0	0.12	0.21	0.31	0.12	0.38	0.09	0.17	0.0
424	Tartary buckwheat	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.17	0.0
425	Black huckleberry	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.17	0.0
426	Sunflower	0.35	0.03	0.23	0.26	0.15	0.32	0.33	0.33	0.15	0.16	0.27	0.04	0.2	0.31	0.34	0.07	0.12	0.08	0.22	0.16	0.0	0.06	0.36	0.33	0.15	0.31	0.09	0.17	0.0
427	Swamp cabbage	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.17	0.0
428	Grass pea	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.17	0.0
429	Lentils	0.25	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.17	0.0
430	Garden cress	0.25	0.03	0.23	0.14	0.15	0.04	0.16	0.1	0.1	0.03	0.2	0.04	0.0	0.25	0.25	0.11	0.12	0.06	0.17	0.13	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.17	0.0
431	Mexican oregano	0.24	0.03	0.23	0.14	0.15	0.07	0.18	0.1	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.15	0.22	0.09	0.17	0.0
432	Lupine	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.17	0.0
433	Medlar	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.17	0.0
